Group name,Group,Answer,Vote[%],Vote count,GroupVote count,Total[%]
"Data Analytics, Data Science, Business Analytics...",Group 5,2 or more per month,39,27,70,3.8
Python Developers Community (moderated),Group 4,2 or more per month,44,191,433,27
"Data Scientist, Data Analyst and Data Engineer",Group 3,2 or more per month,47,66,141,9.3
"Artificial Intelligence, Digital Transformation...",Group 2,2 or more per month,55,6,11,0.8
"AI & ML  - Analytics , Data Science...",Group 1,2 or more per month,56,29,52,4.1
"Data Analytics, Data Science, Business Analytics...",Group 5,1 per month,31,22,70,3.1
Python Developers Community (moderated),Group 4,1 per month,24,104,433,14.7
"Data Scientist, Data Analyst and Data Engineer",Group 3,1 per month,20,28,141,4
"Artificial Intelligence, Digital Transformation...",Group 2,1 per month,18,2,11,0.3
"AI & ML  - Analytics , Data Science...",Group 1,1 per month,12,6,52,0.8
"Data Analytics, Data Science, Business Analytics...",Group 5,1-2 per quarter,14,10,70,1.4
Python Developers Community (moderated),Group 4,1-2 per quarter,13,56,433,7.9
"Data Scientist, Data Analyst and Data Engineer",Group 3,1-2 per quarter,16,23,141,3.3
"Artificial Intelligence, Digital Transformation...",Group 2,1-2 per quarter,18,2,11,0.3
"AI & ML  - Analytics , Data Science...",Group 1,1-2 per quarter,17,9,52,1.3
"Data Analytics, Data Science, Business Analytics...",Group 5,Never,16,11,70,1.6
Python Developers Community (moderated),Group 4,Never,19,82,433,11.6
"Data Scientist, Data Analyst and Data Engineer",Group 3,Never,17,24,141,3.4
"Artificial Intelligence, Digital Transformation...",Group 2,Never,9,1,11,0.1
"AI & ML  - Analytics , Data Science...",Group 1,Never,15,8,52,1.1